id,type,text1,text2,text3,notes
goat_DIRK,SHIP,"纯白-级护卫舰是一款专注于吸引火力、杀伤敌方护卫舰，补齐战场防御缺口的防御护卫舰。

她的装甲系统较为坚固，可以承受敌方重火力打击，为己方战斗部队打开保障空间。高性能的自维护系统与强悍的极化装甲让 纯白-级 在防御方面具有非常出色的性能，在保护舰队的同时，还可以为己方其他宇宙船舰提供足够的火力支援。此外，纯白-级 还拥有快速机动的特点，在战斗中能够迅速突破敌人的阵型，对其进行防御和攻击。并且通过完成敏捷的机动和快速的战术冲锋，迅速占据制高点和控制点，为己方打开优势局面。",,,
goat_THRONE,SHIP,"萨克斯顿 研发团队倾心打造的 晦暗王座-级 巡洋舰是一种堪称星区顶尖的战舰，她在爆发输出能力上拥有超凡的表现，整体的电网整合专注于进攻战斗，在面对高强度敌方时可发挥出极高的威胁能力。

这款巡洋舰在设计方面追求高效、便捷、高整合、高强度。她的战斗航速较快，可在战斗环境中快速进退，以适应瞬息万变的战场环境。同时通用型性能非常强，可以用于各种不同类型的战斗场合。而且她的维护操作非常便捷，可以在更加复杂多变的战斗环境中持续发挥出重要作用。

从动力系统和引擎技术来看，这款巡洋舰是一种非常稳定和可靠的攻坚战舰。它的引擎技术强大且不易停机，具有极高的抗干扰性能，可以在战斗中保持稳定的动力输出。

总体来说，萨克斯顿 船坞的 晦暗王座-级 巡洋舰设计方向为高质量、高强度，注重在战斗中发挥出绝佳的爆发输出能力。同时，在攻防平衡、整体性、便捷性等方面都具备非常突出的表现，在 萨克斯顿 系列战术分配中占据极大权重。",,,
goat_AWL,SHIP,"繁星-级 是一款专注于夺取制空权、限制敌方行动以及提供火力支援的航空护卫舰。

她在设计方面注重强化战斗系统，在武装装备方面配置了强大的火控系统与无人机系统，可以在战斗中进行较远距离的打击，并具有良好的制空能力。
",,,
,,,,,
goat_evil_gaze,SHIP,这种型号的战舰可以追溯到航务局成立时期，服役时间比 攻势-级 这种历史悠久的战舰还要长。工程师们为她加装了一些现代化改造，让这旧日的巨兽再次点燃涡轮。,,,
goat_cagepot,SHIP,一种坚固耐用的运兵船，在运输巨量士兵的同时提供高效的登陆仓。因为清除了大部分无用的设施，笼壶-级的装甲配置非常豪华，但尝试拿她当做前线掩体的舰长最终都死于陆战队叛乱。,,,
goat_insulator,SHIP,"作为公牛的上位替代品，鲸石-级搭载了巨大而精密的立场稳定器，这使得她可以约束出一种兼容性较强的多边形驱动立场，在相对减少立场躁动的同时提供更加稳定的驱动环境。

作为 航务局 联合研发舰船，她似乎有姊妹版本正在发行。",,,
goat_immortality,SHIP,"长寿者已逝，不死者长存。永生-级所拥有的强劲的火力输送能力与高效舰载系统让它可以轻松的碾碎面前任何物体，同时集成了大量航务局专利设计与多次迭代的护甲配比。这一切使她在整个羊头体系乃至星空下的战舰体系中拿到了无可撼动的地位。

在 永生-级 设计之初，她曾经作为 攻势-级 的竞标产品，失败后被重新设计。在重新适配了螺角模块，重组武器电网与引入双核心系统之后，永生-级开始脱离攻势-级的影子，成为一种疯狂的火力输出基座。而为了更好的打成这一目的，设计者彻底摒弃了护盾系统与机动系统，让它成为一种坚固而张扬的太空屠夫。

如今， 航务局 依旧在使用她，尽管一些更加专精或是更加全面的战舰出产亦或是局内局外历经动荡，永生-级依旧成为一种坚固可靠的舰队支点屹立在 航务局 舰队中。",,,
goat_immortality_mod,SHIP,"寂静的荒原，尸横遍野。荒原-级与她的原型机一致的拥有强大的火力投射能力，专注开火时可以迅速的撕碎大部分对手，但螺角的拆除与去装甲化让她损失了大量的电网性能与装甲强度，这使得她更加需要一个护航舰队来提供战术掩护。

荒原-级 的设计看起来是 永生-级 的改版，但其实为并行计划。荒原-级 的设计理念并不学习 永生-级 那样专注于抬升火力，也兼顾了市场对于一艘廉价高效的重战舰保有需求的情况。因而她省略了大部分“不必要”的辅助系统，乃至于次复合装甲与维度熔炉等核心技术都没有采用。这一切努力让她的维护需求降低了一个整个分级。

尽管如此，她的首席设计师 Telfay-Deleph 依旧天才般的保留了强悍的输出火力与完备的自检系统，这使这艘巨舰并不因为过度的系统精简而陷入难易维护的境地，也不会在面对一些强悍的对手毫无还手之力。
 
如今， 航务局 依旧在使用她，尽管一些更加专精或是更加全面的战舰出产亦或是局内局外历经动荡，她的原型也占有极高的战术战略地位，荒原-级 依旧成为一种坚固可靠的舰队支点屹立在 航务局 舰队中。",,,
goat_whorehouse,SHIP,巨大的战斗航母，作为航务局较为早期的设计，不落-级在战机学说兴起之年就已服役。时至今日，它猛烈的火力投放能力依旧证明：烈日不落。,,,
goat_sword_power_smart_mind_of_aris_pro_supermax_NB01,SHIP,"剑意-级 是一块综合性能极强的爆发战舰，精心调整的舰体规划赋予了她令人印象深刻的战术执行能力。大部分富有挑战精神的舰长都偏爱将她作为自己的旗舰。

剑意-级 诞生于航务局第四次技术革新前期，作为流线舰体理论建立的前驱设计，她的战斗风格与老式舰船有着较为明显的不同，新舰体理论让她能够装备大量武装，同时保有强硬的超频性能。同时的，装甲与防护方面再次受到压缩。这虽然让舰船在面对同级别重火力时有些摇摇欲坠，但值得肯定的是，对方所承受的火力压力势必是更加庞大而富有毁灭性的。",,,
,,,,,
goat_flowertide,SHIP,"花潮-级擅长高速来冲入战场，毁灭战场上的战舰，击碎年轻人称霸的梦想，焚毁大笔的资产。然后凭借强大的电网系统全身而退。她就是不详。给世间带来不详。

她号称星区最稳定的 高速巡洋舰，但是在她的 原型机 升空仪式中，由于立场稳定器的突然停机，导致她冲入船坞控制台，成功造成了高达 300 人死亡的重大安全事故。随后，她的设计师 Telfay-Deleph 由于泄露机密而被处决。但是这并不妨碍她的大肆生产。作为便宜而快速的战场核心来投入战斗。

现存的 花潮-级并不是很多，你可以在一些精英舰队中看见她们。",,,
goat_Boxer,SHIP,"残暴，毁灭。作为 统治者-级的原型机，无名重拳-级的设计宗旨利用它的高速突进火力撕碎面前的一切。 

作为统治者同设计时期的产物，早期的无名重拳-级经过了数次改造，并且接受的大量极为激进的设计迭代。导致市面上的它和现役的统治者-级有些大相径庭。同时，这些改造也使它远贵于统治者级，这导致它并不被霸主军方喜爱。

当然，这并不阻碍它在羊头厂的销路，因为这些愚蠢的高管们需要一个看起来张狂的战舰，而不是实用的。",,,
goat_midnight_book,SHIP,"高度集成的前段火力段与强劲的导流推进组预示着她疯狂的突进能力。凭借自己的高速，她可以轻松的游走战场，解决一些烦人的苍蝇，亦或是拯救那些即将报废的高价财产。

与她的大哥相仿，这种极端的设计也出自 Telfay-Deleph 之手，欣慰的是，她从原型机试航开始到如今，未曾出现过任何一例安全事故。",,,
goat_midnight_tea,SHIP,"作为 惊月-级 的测距衍生版本，她获得了与其兄弟完全相反的战术定位，当然，包括外形，测距矩阵提供的强大远程支援能力与依旧强劲的驱动系统，让她可以对任意目标进行远距打击。

与她的大哥相仿，这种极端的设计也出自 Telfay-Deleph 之手，欣慰的是，她从原型机试航开始到如今，未曾出现过任何一例安全事故，而衍生版更是成为了安全的代名词。",,,
goat_stringwind,SHIP,选择风弦-级来进行长途航线运输一种较为激进的方案。她几乎压榨了船上没一点多余空间，无论是护盾还是火力亦或者引擎，凭此提供了近乎吨位极限的燃油承载，更预留了较大的改装空间，让贪得无厌的舰长有更多的选择。,,,
goat_ironpavilion,SHIP,"一种基于无人打捞舰设计的航母，坚硬可靠。熔炉主炮带来的恐怖压制力能够让她成为战场上极端危险的单位。

作为 航务局 重点外贸舰船，她似乎有改装版本正在发行。",,,
goat_goatbone_scholar,SHIP,学习死亡。一条完全依托螺角建立的疯狂巡洋舰。极高的能量利用效率与毁灭性的武装资源让她可以轻易撕碎任何停滞在她面前的物体。,,,
goat_forgotten_sun,SHIP,忘江-级 的重甲改装版，在大崩塌时期开始设计，目的为对标 统治者-级 进行重火力升级，但进行完推进模块增加，巡洋舰体升级之后，大崩塌导致本部技术员无法连线指导。航务局只得自行生成出这台疯狂的逐日猛兽。这使她的前置装甲较为草率。,,,
goat_sails,SHIP,一种老式战舰，基于无人机的设计让她对人员的需求极低，并具有强大的装甲。作为航务局最坚固耐用，维护便利的巡洋舰，他的身影大量出现在运输舰队中，作为舰队最后一道防线。,,,
goat_hillshade,SHIP,作为新式舰体的开山之作，尽管她并没有搭载标志性的导流动力单元，但其与众不同的装甲性能和低成本高收益的作战效能，充分的体现了航务局新式舰体的设计理念。同时，作为羊头旗下为数不多的专业航母，山影-级 经常被用来补偿攻击舰队在发起强悍进攻后，第二轮消耗战的杀伤力亏损。,,,
,,,,,
goat_spear_thrower,SHIP,"一艘合格的阵地舰，一艘不合格的驱逐舰。掷矛-级愚蠢的航速导致它甚至难以追上一些巡洋舰，这导致它几乎无法追击作战。但是它的疯狂射程火力却保证了它的阵地统治力。

有很多舰长看着它，就如同一片垃圾。也有不少舰长认为这是无价至宝。导致此船价格波动极大，很多工厂并不想生产它。

“它的大概就是在一个错误的夜晚，一个错误的时间，一个错误的人，带着一个错误的点子，一个错误的图纸，一杯错误的啤酒。写出来的绝赞产品。”————————设计图扉页注",,,
goat_machete,SHIP,"斩首刀-级较为灵活，大量的导弹配置可以让它获得相对疯狂的爆发输出，而内置的快速工厂可以愉悦的解决续航问题，真是一个完美的舰船呢！

她的设计师 Telfay-Deleph 曾非常骄傲的称，此船讲大规模出现在羊头厂的舰队中。而后来的事实证明。她错了。",,,
goat_gentiles,SHIP,冲锋，冲锋，再冲锋！作为一台专为冲锋设计的舰船，她携带的内压引擎喷口与硬气的装甲配置使她成为战场上最英勇的战士。,,,
goat_rainfarewell,SHIP,战场游骑兵，中规中矩的武器配置被安插在了护卫级机动的船体上。这使她有能力横穿整个战场去提供足够的弱点援护。或者对敌方高危单位进行迅速打击。,,,
goat_fastboxer,SHIP,"独特而优美的设计。她就像一名拳手，放弃了护甲的防护，转守为攻。取得了高速与庞大的导弹火力。同时，为了防止制空权的丧失，她安装了臭名昭著的热诱堡垒发射台，使得其变成了一种“闪耀”的飞行导弹台。

星区传闻，称此舰舰桥酷似某种生殖器官，这导致 湖龙-级 成为抨击其设计师 Telfay-Deleph 存在生殖崇拜思想的一大利器。",,,
goat_forgotten,SHIP,忘江-级 是一种可靠的工程舰船，在军事化转型后，虽保留了民用船体，但拆除了多功能维修台，调整为大型能量插槽。现在的她能兼任工程船与支援船两项业务了。,,,
goat_birdwatching,SHIP,巨大的 洋蓟 导弹基座让她在舰队中极为显眼，与此对应的，她的导弹投射能力也颇为可观。,,,
goat_rhizome,SHIP,一种对标公牛，但同时兼顾了开采作业的探矿舰艇。,,,
goat_whiteone,SHIP,重型的弹药喷射台，这是对她最恰当的评价。羊具-级 正如其秋月肃杀之名，拥有瞬间摧毁绝大部分同级对手的火力水平，让她成为战场上真正的秋风过，万物凌。,,,
,,,,,
goat_pathogenic_wind,SHIP,"它的设计较为奇特，这导致了偏科的战斗力和高昂的维护费用。

等到她正式上市时，奇怪的设计倾向引发了许多质疑，导致它的销量严重低于预期，所幸它的 生产负责人 迅速推出新一代的战舰：暴雨-级。挽回了一部分销售利润。

直到现在，暴雨-级进行了一次次的革新，最终技术产权被收购。羊头航务局 只能重启这条老旧的生产线，并且紧急加装了一些无人机来保证护卫舰产业的竞争力。

目前来看，水瞳-级相对于暴雨级在市场更加常见，因为它实在是生产的太多了。",,,
goat_arson_bird,SHIP,"烈焰飞鸟，发送死讯。火鸟-级 作为航务局出品的半民用护卫舰，通常在货运舰队中充当侦查支援舰，亦或者在战场大量部署以达到火力覆盖。极少的人员需求和低廉的成本让舰长们在牺牲她时毫无顾虑，尽管船员们不这么想。

舰桥系统被替代为一个高精度定位AI核心与其巨大的外置散热器，同时为了符合人之领相关条款，此核心必须由三名或以上的船员进行操作授权。

其激进的火力配置和相对局促的幅能系统搭配上爆发型的战术系统决定了火鸟-级仅支持短时间的高烈度战斗，一旦超限，火鸟-级就会如同她的名字一般，可预见地变为一块燃烧着的陨落残骸。",,,
goat_fliegender_stern,SHIP,"火焰新星在战场划过。飞星-级 作为一艘特色鲜明的强袭舰，厚重复杂的多层缓冲装甲为她提供了同级别舰船中一流的生存能力。

优良且强劲的动力系统使得 飞星-级 能够以极好的战略机动性快速转场，在支援和突袭中都能发挥有效作用。得益于上述优点，飞星-级 是 航务局 中小舰队中不可或缺的中坚力量。

但需要注意的是，飞星-级的火力相对贫弱，在对峙中应调配火力支援舰以补充其缺点从而发挥更好的效果。",,,
goat_harebell,SHIP,死亡战舰的伴生花。蓝铃花-级 专为护航设计，长距射程与优秀的电网使她可以在其它战舰的身侧点射任何体量的敌方单位。,,,
goat_stormlight,SHIP,风暴中的毁灭风灯。这条设计疯狂的舰艇在戏弄时的同时摧毁她的敌人。,,,
goat_shutter,SHIP,"星区的人们称她为寂灭之影，这可不是什么开玩笑的中二别称。跟她的姊妹舰 风灯-级 不同，鬼影-级 更倾向于一瞬间处决敌人。主力级的导弹投射能力让她可以在几秒内让一条战舰彻底熄灭。

作为 航务局 联合研发舰船，她似乎有姊妹版本正在发行。",,,
goat_warhook,SHIP,阴影中的杀手，死亡下的利剑。星旗-级 护卫舰将配合其它主攻手为所有自以为护盾强硬的舰船送上毁灭。,,,
goat_ferrysnow,SHIP,"一种以极高机动性闻名的超速舰船，其堪比战机的战斗航速赋予了她超强的同级搏斗能力，并且可以迅速执行指挥官的命令。其剧烈的加速尾炎一度让人误认为这才是 火鸟-级。

因为她在超压转向时，要求全体船员将自己固定在舱壁上，并且会关闭重力引擎。这种疯狂行为让她在星区获得了一个别称：渡魂。",,,
goat_redaugust,SHIP,基于 斗士-级 进行的改装战舰，与原型相反，其具有坚实的装甲防御系统，让她能够作为小规模战场上的中坚力量活跃于航务局舰队中。,,,
goat_arson_bird_x,SHIP,作为航务局旗下最小型的运输货舰，子谷鸟-级 更加关注于货物的安全与高效传递。多层装甲与强硬的爆发火力让他成为海盗们颇为厌烦的一类目标，同时，巨大的货仓也让船长可以运载尽可能多的货物。,,,
goat_arson_bird_h,SHIP,最为体现航务局设计风格的舰船，由创始人亲自设计并跟随航务局发展进行了数次优化迭代，最终成就了这个性能强悍的远途舰。,,,
,,,,,
goat_AI_ship,SHIP,"一条完全由 AI 设计，并搭载了 高集成AI 驾驶的战舰，具有极高的舰体能级，几乎可以执行任何任务的高度定位模型与深度整合的火控系统，这是一台择人而噬的凶暴野兽。

新芽船坞 在被 航务局 收购时，并没有与 航务局 进行深度技术交换，因而保留的大量的封闭技术，这导致在大崩塌后，信息孤岛的航务局对新芽舰船的维护大量受阻，最终不得不放弃了大部分内核科技，只保留部分技术较为简易的舰船生产。蛮荒-级 作为为数不多维护需求较低的舰船，在进行了简单的技术封存之后，正式投入了航务局生产线。",,,
goat_AI_ship_s,SHIP,"一条完全由 AI 设计，并搭载了 高集成AI 驾驶的战舰，具有极高的舰体能级。相对于另外一台较为保守的型号，苍莽-级 更加注重高速与火力，这让他更适合迅速击杀落单单位，亦或是凭借高机动性进行战术拉扯。

新芽船坞 在被 航务局 收购时，并没有与 航务局 进行深度技术交换，因而保留的大量的封闭技术，这导致在大崩塌后，信息孤岛的航务局对新芽舰船的维护大量受阻，最终不得不放弃了大部分内核科技，只保留部分技术较为简易的舰船生产。 苍莽-级 作为为数不多维护需求较低的舰船，在进行了简单的技术封存之后，正式投入了航务局生产线。",,,
,,,,,
#战机,,,,,
lpc_goat_lick,SHIP,快速的防空支援无人机，被广泛内置在防空稀缺的舰船上，让它们面对拥有强大导弹火力敌人的时候不至于手足无措。,,,
lpc_goat_prism,SHIP,在棱堡系列后期诞生，基于啃食的衍生型号，进行了极大幅度的现代化改进。这类无人机凭借独特的点燃光束成为一种威胁极强的制空杀手。,,,
lpc_goat_fortress,SHIP,坚硬而强大的近防无人机，双打字机的组合几乎在几秒内可以撕碎任何对手。但这一切的代价是需要特质的起落滑道，它对于通用甲板的适应性堪称灾难,,,
lpc_goat_nibble,SHIP,使用羊肚垒改装而成的战斗机，出乎意料的被作为一种正式战机量产。而它劲爆的航速与毫不妥协的火力输出也证明它名不虚传。,,,
lpc_goat_hunter,SHIP,强劲的引擎配置与高效的通讯系统，它的航程抵达了一个疯狂的数字。可以掩护任意的轰炸机进行毁灭性打击，自带的武器系统也能够迅速的撕碎一些无防御的舰艇。,,,
lpc_goat_turbulent,SHIP,高效的维护设计赋予打击持续力，极简结构加强生存能力，大数额编组提高单次打击强度。三料齐下，它有能力向任何慢速目标带来真正如潮水般的毁灭性轰炸。,,,
lpc_goat_ironstone,SHIP,重型装甲与强悍火力使它成为一种可靠的正面作战战机。,,,
lpc_goat_rottenleaf,SHIP,精密编程的无人机，近乎不存在的结构强度与加大当量的导弹。它的设计理念就是不计代价的提高火力输送，成为战场上批量出现的死亡战机。,,,
lpc_goat_redroof,SHIP,顶级战机，五边形战士。这台战争机器几乎不存在任何缺陷，唯一的弱点就是维护费用偏高。,,,
,,,,,
lpc_goat_malstina,SHIP,坚硬的重战机，人们称之为太空铁枪。,,,
lpc_goat_AWL_side,SHIP,一种可以产生高强度引力激光的不可能结构。,,,
,,,,,
#武器,,,,,
all_goat_giant_halberd_l,WEAPON,"一台可以发射超重型巨戟制导鱼雷的死亡机器，可以帮助你碾碎面前的厚重装甲。

搭在的裂位弹头由于过于不稳定，不得不安装了保护套壳。弹头的溢出能量也导致任何的制导机制瞬间崩溃，它的推进器甚至只能利用收束喷发能的形式推动弹体。这一切的不合理，都换来了极强的单次杀伤。它拥有的毁灭力量绝对不是普通弹头可以比肩的。
",,,
all_goat_gloomy_l,WEAPON,大量联装的导弹筒带给它疯狂的弹幕覆盖能力，可以迅速饱和对方的防空力量，甚至依靠数量撕碎一些小型目标。,,,
,,,,,
all_goat_gloomy_m,WEAPON,融合了它兄弟们的特点，它可以大量发射一些中质量弹头来达到压制的效果。而这种型号凭借它开火时疯狂的烟雾成功打响了阴沉系列这号称“死亡乌云”的名号。,,,
all_goat_fire_fire_m,WEAPON,发射直接填充反物质燃料的中型鱼雷，使得这台火焰机器可以长时间保持超群的反装甲力量。,,,
all_goat_dazzle_m,WEAPON,搭在强大的动能弹头的它，犹如一道耀眼的眩光，拥有无与伦比近程突防能。而混合电浆的重质弹头让它可以在击溃强硬护盾的同时撕开护盾后那点可悲的装甲。,,,
all_goat_purgatory_reprimand,WEAPON,别出心裁的利用了螺角升维时候产生的紊乱扰动，将其包装后填入弹头。从而赋予弹头一种空间重叠的性质，这使它对于结构的破坏极大增加。,,,
all_goat_hot,WEAPON,它发射的巨大导弹拥有堪比重战机的防护性能，但只携带了一些不怎么智能的干扰弹。,,,
,,,,,
all_goat_giant_halberd_s,WEAPON,由于不恰当的改装，它虽然可以挂载一枚同规格的巨戟，却需要额外的装配支持和能量供应。,,,
all_goat_gloomy_s,WEAPON,通过放弃大量备弹，它得到了同系列最强的单发弹头，甚至可以强势击穿一些轻型装甲来撕裂对方船体结构。,,,
,,,,,
,,,,,
all_goat_diiscipline,WEAPON,通过导出来自超高压力膛舍的粒子基团来对护盾系统造成极大的混沌扰动。,,,
all_goat_admonish,WEAPON,它的热能反应堆可以提供稳定的长时间开火与出色的伤害，让它可以瞬间清除近距离单位。,,,
all_goat_punish,WEAPON,"毁灭性的高能爆炸赋予了这台战争机器极强的装甲毁伤能力。

U形粒子环可以产生一种双环绕的粒子束流，这种对粒子流在超过25.88吉瓦时会被p空间阻隔，并且其中成对的粒子在自身震荡偏移时，也会造成p空间强烈的点震荡，接连引起现空间中出现大量相位曲变，这些曲变将在接触较高密度实体的时候打破部分高维宇宙膜，让大量高能碎片加剧反应，从而发生巨大能量的不稳定爆炸。

这种超高能粒子环本来是作为科研仪器使用，但在一次对撞实验中，它碰巧的完成了从震荡到爆炸的全过程，成功击毁的大半个实验场地。当时在场的航务局军官 ChaHa Li 并没有因为它的危险性而感到惧怕，而是迅速进行了军用申报。从此，这种不稳定的粒子环迅速从实验室转向军工，并且逐渐实现标准化生产，成为了现在这台疯狂的输出机器。",,,
,,,,,
all_goat_implement,WEAPON,这种主要用于科研的极体引擎并不能造成什么显著的伤害，但它的发射物确实携带了超量的极体粒，可以瞬间瘫痪舰船电网。,,,
all_goat_rhythm,WEAPON,它装配了特殊的磁轴结构，占据大量电容空间的同时获得了强大的转向能力，这使得它可以高速旋转，并且使用光束自带的磁粒冲击来击退点防御目标,会影响目标，强效将其推离原来的运功轨道。在击中船体时产生强烈的伤害电弧,,
all_goat_invasion,WEAPON,被寄予厚望的磁束流最终辜负了人们。但这台毁灭性的发生器却硬生生用自己的极高效能掩盖缺陷成为一台张扬的护盾杀手。,,,
,,,,,
all_goat_howl,WEAPON,极高精度的炮管稳定技术使它可以击中极远距离的舰船，在对方毫无还手之力的情况下撕开它的装甲。但可惜杂余装置过多，导致它的射击频率强差人意。,,,
all_goat_bombard,WEAPON,标准规格的舰炮，装填的热熔弹可以快速发射并且造成严重的装甲融毁。但为了保证它较高的通用性，开火运行产生废热偏多，对电网要求较为严苛。,,,
all_goat_zeal,WEAPON,优雅的枪管就如同一曲华尔兹，撕碎敌舰，广播福音。传递属于舰长的热诚期盼，期盼带走对手的性命。,,,
all_goat_raise,WEAPON,老式的重型臼炮，在换装复合动能弹头后成为了一种简单高效的破盾选择,,,
,,,,,
all_goat_gnaw,WEAPON,堪称奇迹的余能分配方案赋予了这把大枪连射霰弹的能力，这导致它一度威慑成为星区最出名的对盾武器。在针刺系列问世之前。,,,
all_goat_lash,WEAPON,装填了重质燃油弹丸的它成为了台喷火的巨龙，疯狂的撕咬所有胆敢站在它面前的装甲。,,,
all_goat_dash,WEAPON,盒装的标准舰炮。这让它可以在中型武器槽位上安装。尽管盒装压缩了它的火力输出能力，甚至导致炮台稳定度不足，但这不妨碍它快速撕开对手的装甲。,,,
all_goat_heavyfist,WEAPON,口径适中的速射炮，采用长炮管来试图稳定射速过快带来的精准度下降，但效果并不明显。,,,
,,,,,
all_goat_punch,WEAPON,它采用的超速弹射模式可以让弹速远超同类武器，这使弹丸带有巨大的动能并且无比精准。,,,
all_goat_grasp,WEAPON,它似乎天生就是为了拿捏所有的导弹，毕竟稳定而强壮的打字声永远都是建立在无数导弹不甘的残片上的。,,,
all_goat_lash_s,WEAPON,作为它老大哥的轻量化版本，它减少装药量的同时，依然保持着强悍的输出能力。,,,
,,,,,
goat_pdlr,WEAPON,以最简单的方式定向发射引力子束，代价是令人震惊的低效。,,,
,,,,,
all_goat_mjolnir,WEAPON,一台疯狂的熔渣发射器。它将铁阁熔炉产生的炉渣直接发射，达到一种不逊于重型高爆弹药的熔毁效果。让这条打捞船在开凿矿物陨石与敌方船体时都能大展身手。,,,
goat_pdlaser_plus,WEAPON,奇异的光管结构，让这种发射器在照射小型目标时产生极高幅度的电磁紊乱与熔毁效应。,,,
goat_pdlaser,WEAPON,一种经典的能量武器，经常作为防空火力补足使用，但由于其过于特殊的安装要求，如今大部分被其他能量点防御武器替代。只有少数老式舰船与无人机仍有使用。,,,
all_goat_boostinvasion,WEAPON,依托大质量船体构建的引力光束台，可以输出极大强度的引力束缚。,,,
goat_pd,WEAPON,发射低压破片霰弹，形成猛烈的防空弹幕。,,,
all_goat_artichoke_h,WEAPON,搭载了加强战斗部的长距洋蓟云爆弹，可以快速击碎对方护甲。,,,
all_goat_artichoke_k_R,WEAPON,搭载了加强推进部的中距洋蓟导弹，可以快速破开对方护盾。装药中携带的不稳定离子也能干扰对方电网运行。,,,
