id,trigger,conditions,script,text,options,notes
LLIdefaultNPC0MainPreOptions,PopulateOptions,"$id == NPC_0
!$LLIunlocktrade",,,"NPC0MainPreOptions:你不会是专门找人闲聊的吧",
LLIdefaultNPC0MainPre,DialogOptionSelected,"$option == NPC0MainPreOptions","$LLIunlocktrade = true
$player.LLIunlocktrade = true
FireAll PopulateOptions","""当然不是，$playerName $PlayerSirOrMadam，我认为你有潜力成为英仙座星区中一股不可忽视的力量，所以我们可以谈一谈生意。""
",,
LLITradeOptions,PopulateOptions,"$id == NPC_0
$LLIunlocktrade",,,"LLITradeOptions_text:让我们谈谈生意",
LLITradeOptions_text,DialogOptionSelected,"$id == NPC_0
$option == LLITradeOptions_text","FireAll LLITradeOptions
AddTextSmall ""现在你有下列可选的项目"" highlight","""楼兰海军退役了一批几乎全新的浪潮(M)，如果你感兴趣我可以卖给你几台。""

""楼兰海军开除了一部分老兵，为了生计他们不少都选择去当雇佣兵，我可以作为中间人为你介绍几位。""

""我有个客户被海盗塞进炼狱炮发射出去了，所以他订购的一批金属和稀有金属没人付款了，你可以低价买入这批货。""

""我有个女儿失联很久了，有小道消息说她在某个速子科技的舰队中，很有可能是被绑架了，你可以帮我把她带回家吗。""",,
LLITradeOptions_waveM,LLITradeOptions,"$id == NPC_0
",,,"LLITradeOptions_waveM_buy:以40000星币购入浪潮(M)",
LLITradeOptions_waveM1,DialogOptionSelected,"$option == LLITradeOptions_waveM_buy","FireAll LLITradeOptions_waveM2
","""楼兰海军退役了一批几乎全新的浪潮(M)，如果你感兴趣我可以卖给你几台。""

""全新的浪潮(M)船体，包含武器，售价40000星币。""

",,
LLITradeOptions_waveM2,LLITradeOptions_waveM2,"$id == NPC_0","

",,"LLITradeOptions_waveM2b:确认购买",
LLITradeOptions_waveM2a,LLITradeOptions_waveM2,"$id == NPC_0",,,"LLITradeOptions_text:取消并返回",
LLITradeOptions_waveM2b,DialogOptionSelected,"$id == NPC_0
$option ==LLITradeOptions_waveM2b","LLICMD_BuyWaveM",,"LLITradeOptions_text:继续",
LLITradeOptionsLeave,LLITradeOptions,"$id == NPC_0",,,"cutCommLink:切断通讯链接",
"#END LLINPC0",,,,,,

