id,type,text1,text2,text3,text4,notes
AL_subspace_detonation_unit,WEAPON,一种全自动的制造单元，由于技术原理无法被主动操控。该单元通过传送廉价的特殊相位介质来引爆相位空间，形成近防效果，不过过多制造单元会造成传送信道拥堵，使得效率边际递减。,,,,
AL_subspace_detonation_group,WEAPON,亚空起爆单元的大型模块化机组，传送信道容量更大，制空效率更高，但除此以外没有更多的提升。,,,,
,,,,,,
#small,,,,,,
AL_refusingpulse,WEAPON,来自趋光议会的原火氏族革新派颇具商业价值的作品。幅能输出较高的同时能提供更强的导弹防御能力，并能迅速摧毁轻型装甲，不过有着装弹缓慢、转向速度不高的缺点。,,,,
AL_defenderpd,WEAPON,被趋光议会广泛使用的下级激光防御系统，从战舰的冗余能量源中抽取能量，对导弹及战机联队进行精确打击。,,,,
#medium,,,,,,
AL_explodebeam,WEAPON,"以工程师Z.Z的新谐振系统为原型，用错峰频率发射弱光束的武器。多个光束同时命中时会发生共振，对目标的防御系统造成严重干扰，使其更加难以抵御能量损害，从外在表现上看就是光束的颜色由蓝转紫。

它所射出的是非普遍意义的激光，而是无数脉冲流击发，并被纳米立方氮化硼三重加速的电子流，对战舰有着极强的干扰作用。因此，二位激光被称作""战舰病毒""，是所有战舰都不愿意见到的存在。",,,,
AL_protoncollider,WEAPON,需要预热的质子机炮，其射弹命中目标后会产生高频电磁脉冲，击发穿透护盾的EMP电弧来瘫痪用电设备。其用途主要是持续压制并瘫痪敌方舰船。,,,,
AL_precollimation,WEAPON,一种暴力的熔融光束炮，通过微量离子束形成回路后，激发高能电容发射不稳定高温射流，迅速融化一切被瞄准的装甲。电容非常廉价，但其击发装置则需要轮换冷却以规避损失。,,,,
AL_railgun,WEAPON,实验性质的变速充能轨道炮，使用一种裹挟变速单元的高能电磁射弹。开火后，一旦到触发时间，变速单元便会爆炸，骤然加速的同时威力也会线性提升。,,,,
#large,,,,,,
AL_pulsecannon,WEAPON,用于清扫小型目标的不稳定离子脉冲炮，能短时间内发射多个脉冲弹丸。弹丸脆弱的构成使其在感应到能量扰动时便能自主爆炸，这几乎能瞬间击毁一小片范围的导弹并重创其中的战机，不过过早的引爆也会导致伤害不足。,,,,
AL_dyingblazebeam,WEAPON,"原火革新派继奥创聚能炮之后的研究产品，令踏上归途之舰死不瞑目的激光炮，撕扯残余组织。

议会最为暴力的大型激光炮之一，诠释着革新派强大而富有侵略性的设计理念。",,,,
AL_ultrabeam,WEAPON,"""苏醒吧!温床之中的混沌,娜秋之城的阴影,未眠之神的半身!树荫王座将成为你们最终的坟墓,而大神阿特列克会将易途者与你们一同葬送!""","- 娜秋城录音存档PF-S07, 原火氏族大长老F.Ember的呐喊",,,
AL_electricalcannon,WEAPON,具有实验性质的终极杀器。通过武器内搭载的特制电磁线圈，发射内芯包含大量不稳定电荷的能量弹丸，击中敌人或到达射程后能迅速形成一个巨大的电子云，对包裹于其中的目标实施电弧打击。由于其攻击几乎无死角，中小型舰船陷入电子云时会受到严重的损伤。,,,,
AL_wildfirelhc,WEAPON,以精准度为代价，在内部循环加速后发射一簇被等离子态氦包裹的质子，形态不稳定，一旦受到干扰就会形成小型爆炸。与该武器的下位相比，极大地提高了伤害及瘫痪能力。,,,,
AL_bladeofcleavingfire,WEAPON,斩火系列的新制式概念性武器，与系列武器一样，使用高速远程手段对舰体造成杀伤。该光束武器开火时，首先建立光子通道，随后发射接近绝对零度的超导电子流并将易爆物质以极快的速度运输至末端，产生能摧毁一片区域的低温爆炸。,,,,
#ballistic,,,,,,
AL_starimage,WEAPON,单发杀伤力极高的炮弹，以少许射程的代价带来了远比重型撕裂者具有威慑力的杀伤。,,,,
AL_starflak_medium,WEAPON,这种武器是议会仿照双管高射炮的设计而制造出来的。不同于原型，星火者双管高射炮被设计为对抗小型装甲目标，在范围杀伤上有些乏力。,,,,
#missile,,,,,,
AL_thunderpod,WEAPON,没人愿意面对议会的这种导弹。作为研究渊默AI的成果之一，该导弹追踪能力极强并具备可再生能力，破坏性相对较弱但善于干扰敌舰性能。爆炸产生的能量干扰波能轻易地击退中小型目标。,,,,
AL_thunder_factory,WEAPON,以震慑者发射架为基座，周边安置了废物回收利用装置。可在长时间战斗内通过收集战舰内激发武器产生的废物来加速制造震慑者导弹。,,,,
AL_ruler_med,WEAPON,近距离，高载弹的动能导弹舱。这种具备连携效应的小型动能导弹能对舰船动量轮的操作系统进行精确打击，从而干扰敌舰机动。,,,,
AL_rulerlrm_pod,WEAPON,[该武器将在下个需要重开档的版本被移除],,,,
AL_condemnpod,WEAPON,中距离打击导弹头，加速极快，靠近目标后分裂成三个高爆弹头的高机动导弹。命中敌舰船体时能针对船体结构制造共振爆炸，可以对未受损的结构造成更大伤害。,,,,
AL_condemnlarge,WEAPON,一次发射三发定罪者MIRV弹头，若全数命中甚至能对超级巨舰造成无法挽回的杀伤。,,,,
,,,,,,
#fighter,,,,,,
AL_nihilitymissile,WEAPON,这种特制航弹在护盾上爆炸时产生的电尘能在短时间内极大地干扰护盾产生器的效果。,,,,
AL_thunder_fighter,WEAPON,"没人愿意面对议会的这种鱼雷。作为研究智脑AI的成果之一，该鱼雷能根据击打目标调整爆炸效果，对护盾和船体造成额外的对应伤害。其反应堆强制转换的能量会将冲击力瞬间释放到目标上,能短暂造成护盾伤害吸收能力或船体机动的下降。",,,,
AL_bluegull_fighter,WEAPON,原火氏族革新派的杰作，以PF前缀命名以区分传统派的火者。PF-蓝鸥火箭弹虽然中庸，但通用性强。,,,,
AL_fbig_ftr_l,WEAPON,玉琢的巨型长枪，近乎能占据船身一半。,,,,
AL_fbig_ftr_r,WEAPON,玉琢的巨型长枪，近乎能占据船身一半。,,,,
AL_dowelbeam,WEAPON,超级战机的专属EMP光束。,,,,
AL_moonfire_as,WEAPON,专为战机设计的微缩月火发射器。,,,,
,,,,,,
#built-in,,,,,,
AL_deitygun,WEAPON,旷古与毁灭的巅峰，一炮放出，几乎能将挡在面前的一切统统化为灰烬。其庞大而苛性的能量射流对无论多么强大的护盾都一视同仁。,,,,
AL_enderpulse,WEAPON,趋光旗舰的内置武器，不知道预示着什么,,,,
AL_lightscohesion,WEAPON,"""让我们共同赞美这永恒之光，颂扬其对奇迹的创造，以及对万物的抚慰。愿我们在这光辉世界中，感知其深邃智慧，心灵得以升华，最终抵达那神秘而美好的天堂。""",- 永光之锋舰队击沉记录 */09/06,,,
AL_firesbless,WEAPON,"""愿神圣之火将他们驱逐，送往罪恶的地狱深渊。""",- 永光之锋舰队击沉记录 */04/24,,,
AL_unstablemissile_array,WEAPON,能发射大量小型EMP导弹的内置武器阵列，在骚扰敌方防空性能上效果不俗。,,,,
,,,,,,
approlight,FACTION,"大崩塌后，第一次AI战争末期，一小批速子科技员工在考察英仙座时意外发现了一个科技黑箱，其主要内容是一种被称为 ""二位氢炉"" 的反应堆，除此以外是一些具有神秘色彩的外星科技与这个时间轴的宇宙格格不入的概念性技术资料。这些员工没有一人向上级报告此事，反而在达成默契后组建了名为 ""光耀会"" 的秘密组织。他们在明确了资料的归属权之后，开始与一些秘密摆脱公司网络的人工智能进行合作，共同研究解码这些珍贵的资料。他们的进展异常缓慢，但在几十年后，""原初之人"" 真·欧瑞捷门的加盟大力推动了这背地里的研究。

在这漫长的时间里，光耀会的一部分成员事业升迁，成为了速子科技的尖端人员，甚至走上了政坛。在机缘巧合之中，陷于政治斗争的真·欧瑞捷门成为了达纳厄计划的首席执行官，即雷布拉协议委员会表面上的最高领导人。他将错就错，巧妙地将光耀会的绝大多数资源都转移到了未开发星系 Agustin，并展现出了他远超速子方面想象的野心 —— 在另一拨心怀鬼胎的政变者的帮助下，他勾连达纳厄计划原定合作者，霸主殖民地原领主乌洛波罗斯，趁着 AI战争 僵持不下，斩断了与速子科技的上下属关系。几经波折之后，趋光议会，这个野心磅礴的政权就这么悄悄诞生了，并在同盟博尔肯基金会的支持下，成为了一个拥有革命性科技力量的独裁集团。",,,,
immortallight,FACTION,"因 ""坠落之神"" 们造成的神性污染而被动形成的天灾组织，在同趋光议会与断罪之剑漫长的拉锯战中，通过污染和洗脑陷入重围无法撤退的议会舰队及舰载人员来扩充有生力量。值得注意的是，这些战斗不被大多数趋光议会民众所知，上层封锁信息的举措耐人寻味。

他们将 空间裂缝-混沌裂隙 作为基地，经残骸测定，他们极有可能是通过裂隙内空间的至高工厂来进行舰队维护。断罪之剑的 基路-希格斯 称，他们据守混沌裂隙是在等待某种可怕的，名为 ""混沌开辟"" 的星体现象，这个现象会 ""点亮圣锚""。

永光之锋和他们混乱的产生方式一样，整体并非铁板一块。在被击沉的部分永光舰船的主控电脑中，通过解密通讯信息可以发现，他们内部在生命形式上划分为两派，代表强人工智能的 ""永光之理"" 与被洗脑的议员组成的 ""永光崇拜""。然而，缺少行动纲领的支撑，他们的行动大多都是漫无目的且杂乱无章的，这也是他们没有展开更为激进的军事行动的原因之一。

几乎每个与永光之锋交战的幸存者在战后都需要一定时间去治疗战场应急后遗症，无一例外的，他们在病情初期都会不停地念叨着工整的诗句：

众皆真理，众为神明。
众擢取一切，众逐阳化阴。
众之末端，永恒光明。
众怜悯万物，愿世界无垠。",,,,
,,,,,,
AL_primecore,RESOURCE,异常珍贵的金色核心，没有人知道这些核心从哪里来。可以作为主能源给一种至高舰提供几乎无尽的能量，并且在使用时会发出耀眼的金色光芒。,,,,
AL_primematerial,RESOURCE,"数个单位的金色建材，由无法解析的高温合金制成。无论从宏观和微观角度都无法 ""观察"" 其构成。已知其可以作为至高舰的建材。",,,,
AL_primeperipheral,RESOURCE,一堆看似毫无实用意义的金色装饰品，但在辉金核心与熔金建材的互相作用下有传导幅能的特质。也是生产至高舰的必备材料之一。,,,,
AL_contaminated_wreck,RESOURCE,"散发大量未知气体、微光及低剂量辐射的金属残骸，用几何形状摆放时表面会形成十字辉光。相对于无人问津的废弃金属，这种残骸具有一定的研究和收藏价值。据说在 Agustin星系 中，某个ID为 ""断罪之剑"" 的用户正在大量收购这种残骸。",,,,
AL_graven_ai,RESOURCE,"能胜任任何工作并专精于网络防护的 AI核心。据她本人所说，她是由一枚核心电路受损，算法不完整的 Alpha-级AI核心 改造而成，拥有比这类禁忌一般的核心更强的性能与更多的自由：她的欧米伽是基路，而不是任何其他的机械造物。

具有极为鲜明的人格特征，即使在降低了相关参数也无法产生显著的抑制效果。由于这些特征并不会造成实质上的危害，因此不需要被过多重视。极度反感正义与规则之外的事物，接入舰队互联网时会以极为严格的过滤模式调整 ""通讯氛围""，被怨声载道的船员们誉为 ""绿坝娘格拉旺""。",,,,
,,,,,,
AL_approlightflux,SHIP_SYSTEM,在 1 秒内排散 20% 的软幅能并排放冷气以进行姿态调整。可以使用 3 次，每次充能需要 15 秒。,幅能,在 1 秒内排散 20% 的软幅能并排放冷气以进行姿态调整。可以使用 3 次，每次充能需要 15 秒。,1 | 20% | 3 | 15,
AL_crossdimenmaneuver,SHIP_SYSTEM,一定时间内禁止武器开火，获得零幅能加速和极高机动性。并且，在这段时间内[多维湍流护罩]持续时间或冷却速率提高。,机动,一定时间内禁止武器开火，获得零幅能加速和极高机动性。并且，在这段时间内[多维湍流护罩]持续时间或冷却速率提高。,多维湍流护罩,
AL_chargeshield,SHIP_SYSTEM,仅能在护盾开启时使用。启动后禁止关闭护盾，并大量降低护盾所受损伤。关闭时根据期间所受伤害，护盾展开角度等因素对护盾面向方向生成伤害极高的雷暴。,EMP,仅能在护盾开启时使用。启动后禁止关闭护盾，并大量降低护盾所受损伤。关闭时根据期间所受伤害，护盾展开角度等因素对护盾面向方向生成伤害极高的雷暴。,,
AL_tornlight,SHIP_SYSTEM,短时间内解除引擎推力限制，提高最大速度并产生排斥力场，免疫能量伤害。,引擎,短时间内解除引擎推力限制，提高最大速度并产生排斥力场，免疫能量伤害。,,
AL_arclight,SHIP_SYSTEM,短时间内解除引擎推力限制，提高最大速度并产生排斥力场，免疫能量伤害，比裂光位移拥有更强的爆发力和可操纵性，可以充能2次。,引擎,短时间内解除引擎推力限制，提高最大速度并产生排斥力场，免疫能量伤害，比裂光位移拥有更强的爆发力和可操纵性，可以充能2次。,,
AL_euclidALG,SHIP_SYSTEM,产生一个以自身为中心，可以加速友军战舰的长矩形航道，且在该航道上敌军的装甲，护盾以及结构受到 10% 的额外伤害。,机动,产生一个以自身为中心，可以加速友军战舰的长矩形航道，且在该航道上敌军的装甲，护盾以及结构受到 10% 的额外伤害。,10%,
AL_battlemode,SHIP_SYSTEM,可自由开关，开启后提高 15% 最大速度、机动性及武器伤害，但同时也提高 30% 装甲和护盾受到的伤害。,增强,可自由开关，开启后提高 15% 最大速度、机动性及武器伤害，但同时也提高 30% 装甲和护盾受到的伤害。,15% | 30%,
AL_parsecdisplacer,SHIP_SYSTEM,将舰船闪现至不远处的指定地点，并将结构、装甲恢复至 1 秒前的状态。,机动,将舰船闪现至不远处的指定地点，并将结构、装甲恢复至 1 秒前的状态。,1,
AL_eddydisplacer,SHIP_SYSTEM,"用""挤入空间""的方式跃迁一段距离，并在原来的位置留下威力较大的空爆。",机动,"用""挤入空间""的方式跃迁一段距离，并在原来的位置留下威力较大的空爆。",,
AL_glowfluxjammer,SHIP_SYSTEM,在一秒内护甲极度增强并在之后释放一次幅能风暴，控制周边导弹与弹丸，并对敌舰造成伤害。使用产生硬幅能。,自保,在一秒内护甲极度增强并在之后释放一次幅能风暴，控制周边导弹与弹丸，并对敌舰造成伤害。使用产生硬幅能。,,
AL_originflux,SHIP_SYSTEM,解除原初造物的限制。提高实弹及能量武器的射程，降低自身机动性，与此同时 原初激光炮 解锁并重置武器冷却。原初激光炮未开火时该系统冷却仅为 3 秒， 开火后将强制关闭系统且进入 30 秒时间的冷却。,增强,解除原初造物的限制。提高实弹及能量武器的射程，降低自身机动性，与此同时 原初激光炮 解锁并重置武器冷却。原初激光炮未开火时该系统冷却仅为 3 秒， 开火后将强制关闭系统且进入 30 秒时间的冷却。,原初激光炮 | 3 | 30,
AL_cataclysm,SHIP_SYSTEM,标记一切被死亡垂青的敌人，并在电光火石之中猛击他们的弱点。,机动,标记一切被死亡垂青的敌人，并在电光火石之中猛击他们的弱点。,,
AL_spacetimeecho,SHIP_SYSTEM,回应呼唤的三个时空残影将与其他残影产生电磁回路，势如破竹地打击沿途者，并根据残影数目加强自身。,增强,回应呼唤的三个时空残影将与其他残影产生电磁回路，势如破竹地打击沿途者，并根据残影数目加强自身。,,
AL_fluxtransferarray,SHIP_SYSTEM,将自身最多为最大幅能三分之一的幅能通过量子通讯传导给目标舰船。有三次充能且充能时间较长。,幅能,将自身最多为最大幅能三分之一的幅能通过量子通讯传导给目标舰船。有三次充能且充能时间较长。,,
AL_godswilldriver,SHIP_SYSTEM,召唤启示以保护此身，短时间内爆发机动并产生浓雾力场，将周围敌人的攻击遣送至指定方位。,机动,召唤启示以保护此身，短时间内爆发机动并产生浓雾力场，将周围敌人的攻击遣送至指定方位。,,
AL_separationofobsession,SHIP_SYSTEM,在一段时间内，使末那识所有受到的伤害降至 0.1 倍并强制展开护盾。与此同时末那识将吸引意根无色范围内的所有敌舰，并产生 EMP光尘 进行打击。,自保,在一段时间内，使末那识所有受到的伤害降至 0.1 倍并强制展开护盾。与此同时末那识将吸引意根无色范围内的所有敌舰，并产生 EMP光尘 进行打击。,0.1 | EMP光尘,
AL_purpleprinciple,SHIP_SYSTEM,解除安全协议以切换：轰炸方针-提升轰炸机的机动性，返航时效果加倍。突击方针-战斗、截击等类型的联队的领头机获得极大增强。,增强,解除安全协议以切换：轰炸方针-提升轰炸机的机动性，返航时效果加倍。突击方针-战斗、截击等类型的联队的领头机获得极大增强。,,
AL_callofgodshield,SHIP_SYSTEM,呼唤恩召以保护此身，与主力舰的堡垒护盾相比，承伤能力较弱且取决于当前幅能水平。当附近有敌人时，护盾承伤能力会有所提升。开启时武器不能攻击。,护盾,呼唤恩召以保护此身，与主力舰的堡垒护盾相比，承伤能力较弱且取决于当前幅能水平。当附近有敌人时，护盾承伤能力会有所提升。开启时武器不能攻击。,,
AL_thresholdavoiddriver,SHIP_SYSTEM,以武器和护盾失效为代价，大幅度减少所遭受的伤害并提高机动性。,防御,以武器和护盾失效为代价，大幅度减少所遭受的伤害并提高机动性。,,
AL_atomscratch,SHIP_SYSTEM,瞬间移动到一定距离之外，并在短时间后沿途产生空间裂痕以及爆炸。,机动,瞬间移动到一定距离之外，并在短时间后沿途产生空间裂痕以及爆炸。,,
AL_pressurizeddriver,SHIP_SYSTEM,加大引擎发力，短时间内提高一定速度，如果引擎模块停机那将无法获得完整加速。,引擎,加大引擎发力，短时间内提高一定速度，如果引擎模块停机那将无法获得完整加速。,,
AL_chronitonfield,SHIP_SYSTEM,展开时流力场，所有进入力场的友军在短时间内时间流速加快。,增强,展开时流力场，所有进入力场的友军在短时间内时间流速加快。,,
AL_darkwildstalking,SHIP_SYSTEM,开启时进行一次短距离冲刺，之后一段时间内提高最大航速及加速度。,机动,开启时进行一次短距离冲刺，之后一段时间内提高最大航速及加速度。,,
AL_lapdrift,SHIP_SYSTEM,立即关闭护盾，迅速进入近似量子态，在时间加速的情况下进行空间机动的同时，排出少量幅能。,机动,立即关闭护盾，迅速进入近似量子态，在时间加速的情况下进行空间机动的同时，排出少量幅能。,,
